deal_id,symbol,open_time,close_time,regime,layers,invested,pnl,return_pct,duration_h
217,LINK/USDC,2024-12-27T00:00:00+00:00,2024-12-29T00:00:00+00:00,SHORT_DCA,1,1100.4,29.4076,2.67,48.0
218,LINK/USDC,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,SHORT_DCA,1,1109.73,29.0794,2.62,24.0
219,LINK/USDC,2025-01-01T00:00:00+00:00,2025-01-07T00:00:00+00:00,SHORT_DCA,3,2450.51,124.5935,5.08,144.0
220,LINK/USDC,2025-01-08T00:00:00+00:00,2025-01-09T00:00:00+00:00,SHORT_DCA,1,1160.85,41.5274,3.58,24.0
221,LINK/USDC,2025-01-10T00:00:00+00:00,2025-01-12T00:00:00+00:00,SHORT_DCA,1,1174.31,22.3082,1.9,48.0
222,LINK/USDC,2025-01-13T00:00:00+00:00,2025-02-02T00:00:00+00:00,SHORT_DCA,10,3826.35,149.0539,3.9,480.0
223,LINK/USDC,2025-02-03T00:00:00+00:00,2025-02-04T00:00:00+00:00,SHORT_DCA,1,1229.95,81.3171,6.61,24.0
224,LINK/USDC,2025-02-05T00:00:00+00:00,2025-02-06T00:00:00+00:00,SHORT_DCA,1,1258.42,37.5372,2.98,24.0
225,LINK/USDC,2025-02-07T00:00:00+00:00,2025-02-18T00:00:00+00:00,SHORT_DCA,3,2782.23,116.2286,4.18,264.0
226,LINK/USDC,2025-02-19T00:00:00+00:00,2025-02-21T00:00:00+00:00,SHORT_DCA,1,1308.64,37.6543,2.88,48.0
227,LINK/USDC,2025-02-22T00:00:00+00:00,2025-02-24T00:00:00+00:00,SHORT_DCA,1,1320.65,140.0229,10.6,48.0
228,LINK/USDC,2025-02-25T00:00:00+00:00,2025-02-28T00:00:00+00:00,SHORT_DCA,1,1376.42,42.1084,3.06,72.0
229,LINK/USDC,2025-03-01T00:00:00+00:00,2025-03-03T00:00:00+00:00,SHORT_DCA,2,2362.84,163.6016,6.92,48.0
230,LINK/USDC,2025-03-04T00:00:00+00:00,2025-03-08T00:00:00+00:00,SHORT_DCA,3,3170.46,100.9206,3.18,96.0
231,LINK/USDC,2025-03-09T00:00:00+00:00,2025-03-10T00:00:00+00:00,SHORT_DCA,1,1480.11,105.0575,7.1,24.0
232,LINK/USDC,2025-03-11T00:00:00+00:00,2025-03-13T00:00:00+00:00,SHORT_DCA,2,2579.59,44.2333,1.71,48.0
233,LINK/USDC,2025-03-14T00:00:00+00:00,2025-03-16T00:00:00+00:00,SHORT_DCA,2,2602.97,76.5235,2.94,48.0
234,LINK/USDC,2025-03-17T00:00:00+00:00,2025-03-21T00:00:00+00:00,SHORT_DCA,2,2644.52,78.3438,2.96,96.0
235,LINK/USDC,2025-03-22T00:00:00+00:00,2025-03-28T00:00:00+00:00,SHORT_DCA,3,3461.59,115.4641,3.34,144.0
236,LINK/USDC,2025-03-29T00:00:00+00:00,2025-04-02T00:00:00+00:00,SHORT_DCA,2,2750.34,149.8699,5.45,96.0
237,LINK/USDC,2025-04-03T00:00:00+00:00,2025-04-06T00:00:00+00:00,SHORT_DCA,1,1668.72,162.7985,9.76,72.0
238,LINK/USDC,2025-04-07T00:00:00+00:00,2025-04-08T00:00:00+00:00,SHORT_DCA,1,1731.58,71.8071,4.15,24.0
239,LINK/USDC,2025-04-09T00:00:00+00:00,2025-04-10T00:00:00+00:00,SHORT_DCA,1,1755.18,72.2671,4.12,24.0
240,LINK/USDC,2025-04-11T00:00:00+00:00,2025-04-13T00:00:00+00:00,SHORT_DCA,2,3024.13,51.1769,1.69,48.0
241,LINK/USDC,2025-04-14T00:00:00+00:00,2025-04-15T00:00:00+00:00,SHORT_DCA,1,1794.8,52.1013,2.9,24.0
242,LINK/USDC,2025-04-16T00:00:00+00:00,2025-05-22T00:00:00+00:00,SHORT_DCA,10,5867.54,-1482.3642,-25.26,864.0
243,LINK/USDC,2025-05-23T00:00:00+00:00,2025-05-27T00:00:00+00:00,LONG_DCA,1,1366.72,33.442,2.45,96.0
244,LINK/USDC,2025-05-28T00:00:00+00:00,2025-06-10T00:00:00+00:00,LONG_DCA,5,3817.87,195.4593,5.12,312.0
245,LINK/USDC,2025-06-11T00:00:00+00:00,2025-07-08T00:00:00+00:00,LONG_DCA,7,4390.6,79.3025,1.81,648.0
246,LINK/USDC,2025-07-09T00:00:00+00:00,2025-07-10T00:00:00+00:00,LONG_DCA,1,1459.18,100.3508,6.88,24.0
247,LINK/USDC,2025-07-11T00:00:00+00:00,2025-07-13T00:00:00+00:00,LONG_DCA,1,1489.29,37.0372,2.49,48.0
248,LINK/USDC,2025-07-14T00:00:00+00:00,2025-07-15T00:00:00+00:00,LONG_DCA,1,1500.4,34.2948,2.29,24.0
249,LINK/USDC,2025-07-16T00:00:00+00:00,2025-07-17T00:00:00+00:00,LONG_DCA,1,1510.69,120.5287,7.98,24.0
250,LINK/USDC,2025-07-18T00:00:00+00:00,2025-07-19T00:00:00+00:00,LONG_DCA,1,1546.85,48.5829,3.14,24.0
251,LINK/USDC,2025-07-20T00:00:00+00:00,2025-07-22T00:00:00+00:00,LONG_DCA,1,1561.42,31.6011,2.02,48.0
252,LINK/USDC,2025-07-23T00:00:00+00:00,2025-07-27T00:00:00+00:00,LONG_DCA,1,1570.9,91.5927,5.83,96.0
253,LINK/USDC,2025-07-28T00:00:00+00:00,2025-08-07T00:00:00+00:00,LONG_DCA,3,3500.45,152.6126,4.36,240.0
254,LINK/USDC,2025-08-29T00:00:00+00:00,2025-09-01T00:00:00+00:00,SHORT_DCA,1,1644.16,59.6811,3.63,72.0
255,LINK/USDC,2025-09-02T00:00:00+00:00,2025-09-04T00:00:00+00:00,SHORT_DCA,1,1663.53,74.9954,4.51,48.0
256,LINK/USDC,2025-09-05T00:00:00+00:00,2025-09-22T00:00:00+00:00,SHORT_DCA,5,4682.07,270.9767,5.79,408.0
257,LINK/USDC,2025-09-23T00:00:00+00:00,2025-09-25T00:00:00+00:00,SHORT_DCA,1,1781.18,100.4544,5.64,48.0
258,LINK/USDC,2025-09-26T00:00:00+00:00,2025-10-10T00:00:00+00:00,SHORT_DCA,4,4598.53,624.3952,13.58,336.0
259,LINK/USDC,2025-10-11T00:00:00+00:00,2025-10-16T00:00:00+00:00,SHORT_DCA,3,4599.46,198.6022,4.32,120.0
260,LINK/USDC,2025-10-17T00:00:00+00:00,2025-10-30T00:00:00+00:00,SHORT_DCA,4,5485.8,180.7906,3.3,312.0
261,LINK/USDC,2025-10-31T00:00:00+00:00,2025-11-03T00:00:00+00:00,SHORT_DCA,1,2223.95,203.5781,9.15,72.0
262,LINK/USDC,2025-11-04T00:00:00+00:00,2025-11-13T00:00:00+00:00,SHORT_DCA,4,5828.33,235.8798,4.05,216.0
263,LINK/USDC,2025-11-14T00:00:00+00:00,2025-11-16T00:00:00+00:00,SHORT_DCA,2,4043.06,60.1732,1.49,48.0
264,LINK/USDC,2025-11-17T00:00:00+00:00,2025-11-20T00:00:00+00:00,SHORT_DCA,2,4074.71,161.8947,3.97,72.0
265,LINK/USDC,2025-11-21T00:00:00+00:00,2025-12-01T00:00:00+00:00,SHORT_DCA,4,6205.48,223.0871,3.6,240.0
266,LINK/USDC,2025-12-02T00:00:00+00:00,2025-12-05T00:00:00+00:00,SHORT_DCA,2,4287.73,99.2167,2.31,72.0
267,LINK/USDC,2025-12-06T00:00:00+00:00,2025-12-07T00:00:00+00:00,SHORT_DCA,1,2553.44,47.6431,1.87,24.0
268,LINK/USDC,2025-12-08T00:00:00+00:00,2025-12-12T00:00:00+00:00,SHORT_DCA,2,4366.11,114.9907,2.63,96.0
269,LINK/USDC,2025-12-13T00:00:00+00:00,2025-12-14T00:00:00+00:00,SHORT_DCA,1,2604.77,81.555,3.13,24.0
270,LINK/USDC,2025-12-15T00:00:00+00:00,2025-12-17T00:00:00+00:00,SHORT_DCA,1,2630.93,108.4933,4.12,48.0
271,LINK/USDC,2025-12-18T00:00:00+00:00,2026-01-20T00:00:00+00:00,SHORT_DCA,6,7842.8,322.8377,4.12,792.0
272,LINK/USDC,2026-01-21T00:00:00+00:00,2026-01-24T00:00:00+00:00,SHORT_DCA,1,2772.55,43.2989,1.56,72.0
273,LINK/USDC,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,SHORT_DCA,2,4736.13,207.1676,4.37,96.0
274,LINK/USDC,2026-01-30T00:00:00+00:00,2026-01-31T00:00:00+00:00,SHORT_DCA,1,2854.4,182.4172,6.39,24.0
275,LINK/USDC,2026-02-01T00:00:00+00:00,2026-02-04T00:00:00+00:00,SHORT_DCA,2,4960.42,155.4328,3.13,72.0
276,LINK/USDC,2026-02-05T00:00:00+00:00,2026-02-05T00:00:00+00:00,SHORT_DCA,1,2967.76,0.0,0.0,0.0
277,LINK/USDC,2026-02-06T00:00:00+00:00,2026-02-14T00:00:00+00:00,LONG_DCA,3,6499.38,328.9112,5.06,192.0
278,LINK/USDC,2026-02-15T00:00:00+00:00,2026-02-16T00:00:00+00:00,LONG_DCA,1,3066.43,52.3281,1.71,24.0
279,LINK/USDC,2026-02-17T00:00:00+00:00,2026-02-20T00:00:00+00:00,LONG_DCA,2,5239.62,133.233,2.54,72.0
280,LINK/USDC,2026-02-21T00:00:00+00:00,2026-02-25T00:00:00+00:00,LONG_DCA,3,6837.39,473.7203,6.93,96.0
282,NEAR/USDT,2024-10-01T00:00:00+00:00,2024-10-04T00:00:00+00:00,LONG_DCA,2,1275.0,22.0253,1.73,72.0
283,NEAR/USDT,2024-10-05T00:00:00+00:00,2024-10-06T00:00:00+00:00,LONG_DCA,1,756.61,27.4007,3.62,24.0
284,NEAR/USDT,2024-10-07T00:00:00+00:00,2024-10-14T00:00:00+00:00,LONG_DCA,4,1937.31,69.9846,3.61,168.0
285,NEAR/USDT,2024-10-15T00:00:00+00:00,2024-11-11T00:00:00+00:00,LONG_DCA,10,2545.42,464.8862,18.26,648.0
286,NEAR/USDT,2024-11-12T00:00:00+00:00,2024-11-14T00:00:00+00:00,LONG_DCA,2,1572.99,44.1723,2.81,48.0
287,NEAR/USDT,2024-11-15T00:00:00+00:00,2024-11-16T00:00:00+00:00,LONG_DCA,1,938.54,65.35,6.96,24.0
